Book,Author(s),Original language,First published,Approximate sales,Genre
The Women's Room,Marilyn French,English,1977,20000000,Novel
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20000000,Pregnancy Guide
Adventures of Huckleberry Finn,Mark Twain,English,1885,20000000,Novel
"The Secret Diary of Adrian Mole, Aged 13",Sue Townsend,English,1982,20000000,Young Adult Novel
Pride and Prejudice,Jane Austen,English,1813,20000000,Romance
Kon-Tiki: Across the Pacific in a Raft,Thor Heyerdahl,Norwegian,1950,20000000,Travel Literature
The Good Soldier,Jaroslav Hasek,Czech,1923,20000000,Dark Comedy Novel
Where the Wild Things Are,Maurice Sendak,English,1963,20000000,Children's Picture Book
The Power of Positive Thinking,Norman Vincent Peale,English,1952,20000000,Self-Help
The Secret,Rhonda Byrne,English,2006,20000000,Self-Help
Fear of Flying,Erica Jong,English,1973,20000000,Romance
Dune,Frank Herbert,English,1965,20000000,Science Fiction Novel
Charlie and the Chocolate Factory,Roald Dahl,English,1964,20000000,Children's Fantasy Novel
The Naked Ape,Desmond Morris,English,1968,20000000,Social Science
Remembrance of Earth's Past,Liu Cixin,Chinese,2008,29000000,Fiction
Calico Cat Holmes series,Jir Akagawa,Japanese,1978,28000000,Mystery
Curious George,Hans Augusto Rey and Margret Rey,English,1941,27000000,Children's Literature
Matilda,Roald Dahl,English,1988,17000000,Children's Literature
The Book Thief,Markus Zusak,English,2005,16000000,Young Adult Fiction
The Horse Whisperer,Nicholas Evans,English,1995,16000000,Novel
Goodnight Moon,Margaret Wise Brown,English,1947,16000000,Children's Literature
The Neverending Story,Michael Ende,German,1979,16000000,Children's Literature
All the Light We Cannot See,Anthony Doerr,English,2014,15300000,War Novel
Fifty Shades of Grey,E. L. James,English,2011,15200000,Erotica
The Pillars of the Earth,Ken Follett,English,1989,15000000,Historical Literature
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14000000,Science Fiction
The Exorcist,William Peter Blatty,English,1971,11000000,Horror
Fifty Shades Darker,E. L. James,English,2012,10400000,Erotica
